# time(fs)  total O H
0.000000000000000000e+00 2.341411810922122000e-02 7.015151130283249752e-04 2.271260299619289741e-02
2.000000000000000000e+00 1.743895122114141188e-02 6.771893423234857717e-04 1.676176187881792817e-02
4.000000000000000000e+00 7.135844058382202412e-03 6.336310156261429089e-04 6.502213042756057985e-03
6.000000000000000000e+00 4.058501597937026230e-03 6.154412048345511135e-04 3.443060393102474574e-03
8.000000000000000000e+00 7.722059676031916946e-03 6.209013482871608139e-04 7.101158327744755590e-03
1.000000000000000000e+01 7.733376452831504204e-03 6.103352503118760885e-04 7.123041202519627899e-03
1.200000000000000000e+01 1.400500744656098012e-04 5.689436410782797941e-04 -4.288935666126701554e-04
1.400000000000000000e+01 -6.436835535596837840e-03 5.299240128545629853e-04 -6.966759548451400934e-03
1.600000000000000000e+01 -4.183289735241656378e-03 5.227570512153996473e-04 -4.706046786457055917e-03
1.800000000000000000e+01 2.407354649755379279e-03 5.294652399014626414e-04 1.877889409853916421e-03
2.000000000000000000e+01 3.052065652195245799e-03 5.104820113860320191e-04 2.541583640809213455e-03
2.200000000000000000e+01 -3.721453531526799138e-03 4.609081868739713745e-04 -4.182361718400770187e-03
2.400000000000000000e+01 -9.267154584809006446e-03 4.146026990571650452e-04 -9.681757283866171057e-03
2.600000000000000000e+01 -7.844607446915990295e-03 3.934794267194250588e-04 -8.238086873635416113e-03
2.800000000000000000e+01 -3.874621477442592807e-03 3.803975633356061737e-04 -4.255019040778198168e-03
3.000000000000000000e+01 -4.154482667692024206e-03 3.500978727783554526e-04 -4.504580540470379604e-03
3.200000000000000000e+01 -7.489617715536423144e-03 3.085432922457215362e-04 -7.798161007782142620e-03
3.400000000000000000e+01 -7.058482336480468092e-03 2.823479840205277798e-04 -7.340830320500995113e-03
3.600000000000000000e+01 -1.009885297425660352e-03 2.778293548227787424e-04 -1.287714652248439203e-03
3.800000000000000000e+01 4.766744083604529392e-03 2.717851475997382321e-04 4.494958936004792190e-03
4.000000000000000000e+01 4.979406135283160131e-03 2.445466334247523195e-04 4.734859501858408246e-03
4.200000000000000000e+01 1.725728755048332608e-03 2.051822723692585100e-04 1.520546482679073583e-03
4.400000000000000000e+01 3.800112570373561662e-04 1.742522930580435556e-04 2.057589639793126648e-04
4.600000000000000000e+01 1.763530134286100167e-03 1.540539000315326165e-04 1.609476234254567442e-03
4.800000000000000000e+01 2.122831865778979695e-03 1.301765729226916240e-04 1.992655292856288125e-03
5.000000000000000000e+01 -2.420318636074601760e-04 9.733266020835461578e-05 -3.393645238158147647e-04
5.200000000000000000e+01 -2.257594548702460992e-03 6.825698246938898418e-05 -2.325851531171850301e-03
5.400000000000000000e+01 -8.397987835963705147e-04 5.425413184944417660e-05 -8.940529154458146371e-04
5.600000000000000000e+01 2.598268773736402571e-03 4.878983656286215191e-05 2.549478937173540148e-03
5.800000000000000000e+01 4.362485996613931286e-03 3.753284186240801794e-05 4.324953154751522665e-03
6.000000000000000000e+01 3.439107157839639637e-03 1.733626406993123685e-05 3.421770893769709478e-03
6.200000000000000000e+01 1.970787631634869728e-03 -3.320891734397308133e-06 1.974108523369266788e-03
6.400000000000000000e+01 1.501465629146734064e-03 -1.920605627993970187e-05 1.520671685426673667e-03
6.600000000000000000e+01 1.115974932225404555e-03 -3.430709183887931758e-05 1.150282024064283853e-03
6.800000000000000000e+01 -3.083503404732143333e-04 -5.228365839331441001e-05 -2.560666820798999368e-04
7.000000000000000000e+01 -1.903643572830055527e-03 -6.881496067216816715e-05 -1.834828612157887685e-03
7.200000000000000000e+01 -1.972278331025691719e-03 -7.731314457272986927e-05 -1.894965186452961334e-03
7.400000000000000000e+01 -3.830776951371492366e-04 -7.801181493044863911e-05 -3.050658802067005839e-04
7.600000000000000000e+01 1.379553663823473563e-03 -7.702059853673900211e-05 1.456574262360212308e-03
7.800000000000000000e+01 2.148924044319930077e-03 -7.854397405469616428e-05 2.227468018374626282e-03
8.000000000000000000e+01 2.044713593804322205e-03 -8.198411954420544670e-05 2.126697713348527259e-03
8.200000000000000000e+01 1.572188145283752447e-03 -8.593877658397032352e-05 1.658126921867722568e-03
8.400000000000000000e+01 7.145569224824303758e-04 -9.104467149443861676e-05 8.056015939768691823e-04
8.600000000000000000e+01 -6.841190905799623273e-04 -9.773683645813431131e-05 -5.863822541218278398e-04
8.800000000000000000e+01 -2.215806885516096499e-03 -1.038768503441087727e-04 -2.111930035171987428e-03
9.000000000000000000e+01 -3.091172503560694982e-03 -1.063211950429691487e-04 -2.984851308517725427e-03
9.200000000000000000e+01 -2.902445439735688859e-03 -1.039306443040093585e-04 -2.798514795431679934e-03
9.400000000000000000e+01 -1.907046466820633279e-03 -9.796846672901126860e-05 -1.809078000091622011e-03
9.600000000000000000e+01 -6.724610478288800281e-04 -9.046307680312713566e-05 -5.819979710257527569e-04
