# wavenumber(cm^-1)  total O H
4.071827333961817175e+00 1.443053526533707998e-01 4.453547134057676132e-02 9.976988131279407312e-02
8.143654667923634349e+00 1.548381424054916522e-01 4.809958063764039476e-02 1.067385617678512644e-01
1.221548200188545152e+01 1.715023461191616805e-01 5.375609614280737331e-02 1.177462499763543696e-01
1.628730933584726870e+01 1.930489225886842797e-01 6.110336079916863644e-02 1.319455617895157196e-01
2.035913666980908587e+01 2.178954252406441194e-01 6.962594255456175385e-02 1.482694826860824211e-01
2.443096400377090305e+01 2.442750690108779765e-01 7.873891376366293215e-02 1.655361552472150721e-01
2.850279133773272022e+01 2.704029054967370671e-01 8.783959628993834312e-02 1.825633092067987795e-01
3.257461867169453740e+01 2.946401090505214593e-01 9.636137899473409818e-02 1.982787300557873889e-01
3.664644600565635812e+01 3.156359188487466994e-01 1.038229157450213797e-01 2.118130031037253058e-01
4.071827333961817175e+01 3.324288542926721046e-01 1.098659347241977280e-01 2.225629195684744599e-01
4.479010067357999247e+01 3.444947592346135901e-01 1.142763827540032723e-01 2.302183764806103594e-01
4.886192800754180610e+01 3.517381811149858928e-01 1.169865234367658963e-01 2.347516576782200382e-01
5.293375534150362682e+01 3.544336136149519589e-01 1.180592244979133676e-01 2.363743891170385913e-01
5.700558267546544045e+01 3.531317397217331733e-01 1.176590241909537121e-01 2.354727155307795583e-01
6.107741000942726117e+01 3.485507711067558079e-01 1.160167102568200048e-01 2.325340608499358586e-01
6.514923734338907479e+01 3.414730624202426124e-01 1.133944991382003636e-01 2.280785632820422903e-01
6.922106467735089552e+01 3.326625954166760879e-01 1.100574628208034894e-01 2.226051325958727234e-01
7.329289201131271625e+01 3.228112588575157704e-01 1.062541778410527049e-01 2.165570810164631210e-01
7.736471934527452277e+01 3.125135090656112058e-01 1.022065841407606701e-01 2.103069249248505357e-01
8.143654667923634349e+01 3.022624147551162266e-01 9.810668422481762241e-02 2.041557305302986181e-01
8.550837401319816422e+01 2.924569293925259883e-01 9.411662982943194700e-02 1.983402995630940691e-01
8.958020134715998495e+01 2.834108995456592339e-01 9.036908083301163630e-02 1.930418187126475560e-01
9.365202868112179146e+01 2.753579328595498477e-01 8.696612249191346122e-02 1.883918103676364419e-01
9.772385601508361219e+01 2.684510771082117553e-01 8.397680683914823807e-02 1.844742702690636005e-01
1.017956833490454329e+02 2.627603846206885696e-01 8.143480692325874570e-02 1.813255776974298794e-01
1.058675106830072536e+02 2.582734380702902399e-01 7.933822392168948801e-02 1.789352141486008074e-01
1.099393380169690602e+02 2.549033181312511109e-01 7.765313680365180937e-02 1.772501813275993987e-01
1.140111653509308809e+02 2.525058266590231026e-01 7.632129251442643092e-02 1.761845341445967272e-01
1.180829926848927016e+02 2.509042679714520441e-01 7.527091513905934117e-02 1.756333528323927029e-01
1.221548200188545223e+02 2.499171465446795304e-01 7.442851678005962812e-02 1.754886297646199578e-01
1.262266473528163289e+02 2.493828318174458603e-01 7.372920590592099699e-02 1.756536259115248910e-01
1.302984746867781496e+02 2.491759547838100219e-01 7.312340872060416053e-02 1.760525460632059169e-01
1.343703020207399561e+02 2.492126762132010620e-01 7.257895448056556065e-02 1.766337217326355291e-01
1.384421293547017910e+02 2.494451061828909244e-01 7.207874731577988692e-02 1.773663588671111346e-01
1.425139566886635976e+02 2.498479967268340540e-01 7.161534102013508707e-02 1.782326557066989392e-01
1.465857840226254325e+02 2.504025239277176129e-01 7.118434393707258334e-02 1.792181799906450712e-01
1.506576113565872390e+02 2.510821383494254433e-01 7.077859488995112691e-02 1.803035434594743580e-01
1.547294386905490455e+02 2.518442329941332214e-01 7.038455117001597705e-02 1.814596818241173415e-01
1.588012660245108805e+02 2.526292949664299958e-01 6.998153453945660241e-02 1.826477604269734212e-01
1.628730933584726870e+02 2.533669753947860315e-01 6.954365256531766515e-02 1.838233228294684218e-01
1.669449206924344935e+02 2.539867588257237463e-01 6.904356895480708023e-02 1.849431898709167077e-01
1.710167480263963284e+02 2.544300176488260568e-01 6.845696166318285258e-02 1.859730559856432597e-01
1.750885753603581350e+02 2.546602747570411718e-01 6.776650051133237262e-02 1.868937742457087992e-01
1.791604026943199699e+02 2.546692890692201505e-01 6.696443446992150772e-02 1.877048545992987261e-01
1.832322300282817764e+02 2.544777992787126131e-01 6.605329654570545050e-02 1.884245027330071764e-01
1.873040573622435829e+02 2.541310608095953549e-01 6.504469701700821282e-02 1.890863637925871144e-01
1.913758846962054179e+02 2.536904009970576968e-01 6.395658471476883822e-02 1.897338162822888585e-01
1.954477120301672244e+02 2.532227134433490123e-01 6.280963909775331977e-02 1.904130743455957064e-01
1.995195393641290309e+02 2.527900376417486217e-01 6.162357198554292703e-02 1.911664656562057085e-01
2.035913666980908658e+02 2.524411401316150605e-01 6.041405879934345913e-02 1.920270813322715875e-01
2.076631940320526724e+02 2.522064187102274202e-01 5.919081057529353845e-02 1.930156081349338471e-01
2.117350213660145073e+02 2.520966397534454839e-01 5.795699647485567235e-02 1.941396432785898463e-01
2.158068486999763138e+02 2.521051772924187695e-01 5.670990967380625664e-02 1.953952676186125337e-01
2.198786760339381203e+02 2.522127453989392865e-01 5.544251765874463889e-02 1.967702277401945921e-01
2.239505033678999553e+02 2.523932597097794384e-01 5.414541122130049622e-02 1.982478484884789283e-01
2.280223307018617618e+02 2.526195016834004714e-01 5.280868560491223940e-02 1.998108160784882736e-01
2.320941580358235683e+02 2.528676463063351254e-01 5.142342678735075528e-02 2.014442195189844187e-01
2.361659853697854032e+02 2.531202947025260608e-01 4.998267352469973335e-02 2.031376211778263274e-01
2.402378127037472098e+02 2.533682080707457818e-01 4.848190629511343885e-02 2.048863017756323845e-01
2.443096400377090447e+02 2.536112651386909778e-01 4.691921817363784580e-02 2.066920469650532222e-01
2.483814673716708512e+02 2.538591560946160119e-01 4.529532813524098783e-02 2.085638279593750588e-01
2.524532947056326577e+02 2.541320218219791371e-01 4.361352599207059255e-02 2.105184958299085862e-01
2.565251220395944642e+02 2.544608231807442555e-01 4.187954253474825139e-02 2.125812806459960458e-01
2.605969493735562992e+02 2.548869188847004419e-01 4.010127612244447637e-02 2.147856427622560349e-01
2.646687767075181341e+02 2.554603360536648604e-01 3.828831402044784171e-02 2.171720220332170881e-01
2.687406040414799122e+02 2.562365882133770811e-01 3.645126147712235420e-02 2.197853267362547547e-01
2.728124313754417472e+02 2.572725040358245230e-01 3.460099580244403727e-02 2.226715082333805551e-01
2.768842587094035821e+02 2.586221084650407454e-01 3.274804045243479012e-02 2.258740680126060385e-01
2.809560860433653602e+02 2.603338478243512055e-01 3.090225784803016240e-02 2.294315899763210709e-01
2.850279133773271951e+02 2.624501805341137861e-01 2.907297347104060778e-02 2.333772070630731610e-01
2.890997407112890301e+02 2.650097835603426044e-01 2.726949240992859735e-02 2.377402911504140626e-01
2.931715680452508650e+02 2.680515987277011791e-01 2.550180937316371549e-02 2.425497893545374983e-01
2.972433953792126431e+02 2.716190560608126581e-01 2.378120931060465765e-02 2.478378467502080351e-01
3.013152227131744780e+02 2.757624478516155220e-01 2.212045476566038005e-02 2.536419930859551974e-01
3.053870500471363130e+02 2.805377973147427650e-01 2.053336626799745143e-02 2.600044310467454212e-01
3.094588773810980911e+02 2.860016024865444373e-01 1.903378936677743369e-02 2.669678131197669724e-01
3.135307047150599260e+02 2.922022044045154976e-01 1.763414255695623309e-02 2.745680618475592749e-01
3.176025320490217609e+02 2.991697485429595238e-01 1.634388524595920683e-02 2.828258632970003239e-01
3.216743593829835390e+02 3.069073432190898565e-01 1.516828527564832718e-02 2.917390579434415709e-01
3.257461867169453740e+02 3.153858482273830255e-01 1.410779003656606988e-02 3.012780581908170996e-01
3.298180140509072089e+02 3.245438308996332344e-01 1.315814236071249574e-02 3.113856885389207352e-01
3.338898413848689870e+02 3.342929397873543040e-01 1.231118802675441534e-02 3.219817517605998991e-01
3.379616687188308219e+02 3.445277070952398324e-01 1.155615772482909351e-02 3.329715493704107354e-01
3.420334960527926569e+02 3.551379561951604757e-01 1.088111886593900665e-02 3.442568373292214656e-01
3.461053233867544918e+02 3.660216988621912138e-01 1.027429815755831130e-02 3.557474007046328435e-01
3.501771507207162699e+02 3.770965592702266722e-01 9.725059248556336411e-03 3.673715000216704052e-01
3.542489780546781049e+02 3.883081216148216996e-01 9.224443590209793070e-03 3.790836780246119586e-01
3.583208053886399398e+02 3.996339561898625825e-01 8.765303238370427893e-03 3.908686529514922015e-01
3.623926327226017179e+02 4.110823905590197391e-01 8.342137266536963844e-03 4.027402532924828082e-01
3.664644600565635528e+02 4.226855073546610941e-01 7.950773597202724294e-03 4.147347337574583959e-01
3.705362873905253878e+02 4.344866029566184507e-01 7.588020711132847929e-03 4.268985822454857137e-01
3.746081147244871659e+02 4.465235554984242627e-01 7.251368397052084143e-03 4.392721871013722246e-01
3.786799420584490008e+02 4.588110593407691562e-01 6.938767021265673449e-03 4.518722923195033769e-01
3.827517693924108357e+02 4.713259806571095112e-01 6.648478790162592675e-03 4.646775018669468404e-01
3.868235967263726138e+02 4.840004766164492378e-01 6.378979368901277480e-03 4.776214972475479326e-01
3.908954240603344488e+02 4.967264163537116195e-01 6.128890510171385725e-03 4.905975258435401609e-01
