# Time =     1.96559098E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     3.96566602E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -3.2535609981632910E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     5.96574105E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.96581608E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.3943832849271248E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.96589112E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        2.3239721415452075E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.19659662E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        1.6267804990816451E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.39660412E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140030        1.1619860707726042E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.59661162E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -9.2958885661808308E-016  -0.0000000000000000       -0.0000000000000000     
# Time =     1.79661913E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        2.5563693556997286E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     1.99662663E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        3.4859582123178117E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.19663413E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        5.3451359255539774E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.39664164E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        1.8591777132361658E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.59664914E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033        3.9507526406268534E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.79665664E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027        1.8591777132361662E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     2.99666415E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140036       -1.1619860707726040E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     3.19667165E+01 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -0.0000000000000000       -0.0000000000000000       -0.0000000000000000     
