# Time =     1.96559098E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     3.96566602E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -3.2535609981632910E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027       -3.2535609981632910E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027       -3.2535609981632910E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027       -3.2535609981632910E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     5.96574105E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140027       -3.9507526406268526E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     7.96581608E+00 (a.u.)
# N_mol        Energy (eV)                   Dipole_x (a.u.)             Dipole_y (a.u.)             Dipole_z (a.u.)
           1  -129.64767303140033       -1.3943832849271248E-015  -0.0000000000000000       -0.0000000000000000     
           2  -129.64767303140033       -1.3943832849271248E-015  -0.0000000000000000       -0.0000000000000000     
           3  -129.64767303140033       -1.3943832849271248E-015  -0.0000000000000000       -0.0000000000000000     
           4  -129.64767303140033       -1.3943832849271248E-015  -0.0000000000000000       -0.0000000000000000     
# Time =     9.96589112E+00 (a.u.)
